FUEL_TANK_CENTER_QUANTITY                → ['Current quantity in volume', b'FUEL TANK CENTER QUANTITY', b'Gallons', 'Y']
FUEL_TANK_CENTER2_QUANTITY               → ['Current quantity in volume', b'FUEL TANK CENTER2 QUANTITY', b'Gallons', 'Y']
FUEL_TANK_CENTER3_QUANTITY               → ['Current quantity in volume', b'FUEL TANK CENTER3 QUANTITY', b'Gallons', 'Y']
FUEL_TANK_LEFT_MAIN_QUANTITY             → ['Current quantity in volume', b'FUEL TANK LEFT MAIN QUANTITY', b'Gallons', 'Y']
FUEL_TANK_LEFT_AUX_QUANTITY              → ['Current quantity in volume', b'FUEL TANK LEFT AUX QUANTITY', b'Gallons', 'Y']
FUEL_TANK_LEFT_TIP_QUANTITY              → ['Current quantity in volume', b'FUEL TANK LEFT TIP QUANTITY', b'Gallons', 'Y']
FUEL_TANK_RIGHT_MAIN_QUANTITY            → ['Current quantity in volume', b'FUEL TANK RIGHT MAIN QUANTITY', b'Gallons', 'Y']
FUEL_TANK_RIGHT_AUX_QUANTITY             → ['Current quantity in volume', b'FUEL TANK RIGHT AUX QUANTITY', b'Gallons', 'Y']
FUEL_TANK_RIGHT_TIP_QUANTITY             → ['Current quantity in volume', b'FUEL TANK RIGHT TIP QUANTITY', b'Gallons', 'Y']
FUEL_TANK_EXTERNAL1_QUANTITY             → ['Current quantity in volume', b'FUEL TANK EXTERNAL1 QUANTITY', b'Gallons', 'Y']
FUEL_TANK_EXTERNAL2_QUANTITY             → ['Current quantity in volume', b'FUEL TANK EXTERNAL2 QUANTITY', b'Gallons', 'Y']
FUEL_LEFT_QUANTITY                       → ['Current quantity in volume', b'FUEL LEFT QUANTITY', b'Gallons', 'N']
FUEL_RIGHT_QUANTITY                      → ['Current quantity in volume', b'FUEL RIGHT QUANTITY', b'Gallons', 'N']
FUEL_TOTAL_QUANTITY                      → ['Current quantity in volume', b'FUEL TOTAL QUANTITY', b'Gallons', 'N']
FUEL_WEIGHT_PER_GALLON                   → ['Fuel weight per gallon', b'FUEL WEIGHT PER GALLON', b'Pounds', 'N']
FUEL_TANK_SELECTOR:index                 → ['Which tank is selected. See fuel tank list.', b'FUEL TANK SELECTOR:index', b'Enum', 'N']
FUEL_CROSS_FEED                          → ['Cross feed valve:; 0 = Closed; 1 = Open', b'FUEL CROSS FEED', b'Enum', 'N']
FUEL_TOTAL_CAPACITY                      → ['Total capacity of the aircraft', b'FUEL TOTAL CAPACITY', b'Gallons', 'N']
FUEL_SELECTED_QUANTITY_PERCENT           → ['Percent or capacity for selected tank', b'FUEL SELECTED QUANTITY PERCENT', b'Percent Over 100', 'N']
FUEL_SELECTED_QUANTITY                   → ['Quantity of selected tank', b'FUEL SELECTED QUANTITY', b'Gallons', 'N']
FUEL_TOTAL_QUANTITY_WEIGHT               → ['Current total fuel weight of the aircraft', b'FUEL TOTAL QUANTITY WEIGHT', b'Pounds', 'N']
NUM_FUEL_SELECTORS                       → ['Number of selectors on the aircraft', b'NUM FUEL SELECTORS', b'Number', 'N']
UNLIMITED_FUEL                           → ['Unlimited fuel flag', b'UNLIMITED FUEL', b'Bool', 'N']
ESTIMATED_FUEL_FLOW                      → ['Estimated fuel flow at cruise', b'ESTIMATED FUEL FLOW', b'Pounds per hour', 'N']
